Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-IP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-IP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-IP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-MockIP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-MockIP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-MockIP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-IP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-IP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-IP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-MockIP_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-MockIP_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-MockIP_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-WCL_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-WCL_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_BCA_LT-WCL_03.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-WCL_01.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-WCL_02.raw	C:\Raja\DIA-NN searches\June 2022\LT-CBQCA-Test_DIA\RN-DS_220106_Pepide-CBQCA_LT-WCL_03.raw
A2A8L5	A2A8L5	PTPRF_MOUSE	Ptprf	Receptor-type tyrosine-protein phosphatase F	2.30974e+06	1.45141e+06	1.2996e+06	2.03696e+06	1.84395e+06	1.655e+06	2.44988e+06	1.37673e+06	1.19268e+06	2.65655e+06	1.62783e+06	1.5345e+06	456665	814334	480516	716362	1.00895e+06	818309
A2A8L5;B0V2N1;B0V2N1-2;B0V2N1-6;Q64487;Q64487-1;Q64487-10;Q64487-11;Q64487-12;Q64487-5;Q64487-6;Q64487-7;Q64487-8;Q64487-9	A2A8L5;B0V2N1;B0V2N1-2;B0V2N1-3;B0V2N1-4;B0V2N1-5;B0V2N1-6;Q64487;Q64487-1;Q64487-2;Q64487-3;Q64487-5;Q64487-6;Q64487-7;Q64487-8;Q64487-9;Q64487-10;Q64487-11;Q64487-12	PTPRD_MOUSE;PTPRF_MOUSE;PTPRS_MOUSE	Ptprd;Ptprf;Ptprs	Receptor-type tyrosine-protein phosphatase F	2.75245e+06	1.67115e+06	1.01264e+06	1.55429e+06	745525	1.05887e+06	2.81011e+06	1.57279e+06	1.11751e+06	989297	641415	656573		155637			166497	
A2A8L5;Q64487;Q64487-1;Q64487-10;Q64487-11;Q64487-12;Q64487-5;Q64487-6;Q64487-7;Q64487-8;Q64487-9	A2A8L5;Q64487;Q64487-1;Q64487-5;Q64487-6;Q64487-7;Q64487-8;Q64487-9;Q64487-10;Q64487-11;Q64487-12	PTPRD_MOUSE;PTPRF_MOUSE	Ptprd;Ptprf	Receptor-type tyrosine-protein phosphatase F	888043	428558	416858	458852	411651	512741	794559	439565	449313	856886	575016	484820	184597	171896		152288	85942.7	
A2A8U2;A2A8U2-2;A2A8U2-3	A2A8U2;A2A8U2-2;A2A8U2-3	TM201_MOUSE	Tmem201	Transmembrane protein 201	1.60842e+06	1.46347e+06	934768	1.82111e+06	2.13449e+06	981075	557983	1.20488e+06	828794	2.67883e+06	2.10865e+06	1.16491e+06	2.13428e+06	2.22683e+06	2.26078e+06	2.23139e+06	2.20928e+06	2.1484e+06
A2A8Z1	A2A8Z1;A2A8Z1-2	OSBL9_MOUSE	Osbpl9	Oxysterol-binding protein-related protein 9	9.5647e+06	6.1383e+06	5.18398e+06	2.61274e+06	2.13986e+06	2.3593e+06	7.75143e+06	5.65446e+06	5.41825e+06	1.87082e+06	2.67485e+06	2.53426e+06	4.51203e+06	4.79653e+06	4.80447e+06	5.04351e+06	4.99382e+06	5.06462e+06
A2A9C3	A2A9C3;A2A9C3-2	SZT2_MOUSE	Szt2	KICSTOR complex protein SZT2	2.51248e+06	782163	818900				2.5378e+06	510624	538922		833512	423787					96712.8	
A2AAE1;A2AAE1-2;A2AAE1-3;A2AAE1-6	A2AAE1;A2AAE1-2;A2AAE1-3;A2AAE1-5;A2AAE1-6	K1109_MOUSE	Kiaa1109	Transmembrane protein KIAA1109	56087.1	130208	146511	94961.6	124462	203777	66217	185231	160264	126950	98446.2	89601.5						
A2AAY5	A2AAY5	SPD2B_MOUSE	Sh3pxd2b	SH3 and PX domain-containing protein 2B	607363	345705	276534	707984	227658	268306	426813	215187	398306	1.06648e+06	579674		2.74922e+06	2.19261e+06	2.36033e+06	2.58895e+06	2.20489e+06	2.42791e+06
A2AAY5;O89032;O89032-2;O89032-3	A2AAY5;O89032;O89032-2;O89032-3	SPD2A_MOUSE;SPD2B_MOUSE	Sh3pxd2a;Sh3pxd2b	SH3 and PX domain-containing protein 2B	3.29669e+06	1.18753e+06	1.46203e+06	1.76305e+06	924277	225169	1.73261e+06	1.24176e+06	1.23012e+06	1.7805e+06	1.22161e+06	481889	6.27936e+06	5.47573e+06	6.12728e+06	6.23523e+06	4.92953e+06	5.83444e+06
A2ABV5	A2ABV5	MED14_MOUSE	Med14	Mediator of RNA polymerase II transcription subunit 14	1.20151e+06	1.33981e+06	301370	2.63111e+06	1.69685e+06	700829	986479	1.46049e+06	232400	3.17917e+06	2.55735e+06	1.13255e+06	3.36526e+06	3.2471e+06	3.12345e+06	3.39142e+06	3.59104e+06	3.17183e+06
A2ADA5	A2ADA5;A2ADA5-2;A2ADA5-3	PUSL1_MOUSE	Pusl1	tRNA pseudouridine synthase-like 1	5.3139e+06	5.96421e+06	5.65086e+06	5.91503e+06	7.1487e+06	7.29807e+06	4.0549e+06	6.49322e+06	5.9353e+06	6.40413e+06	6.47686e+06	7.31895e+06	1.3925e+06	1.29522e+06	1.20159e+06	1.23529e+06	1.51081e+06	1.18535e+06
A2ADY9	A2ADY9	DDI2_MOUSE	Ddi2	Protein DDI1 homolog 2		19418.3						166779					1.295e+06	1.12316e+06	1.41066e+06	1.28452e+06	1.36178e+06	1.63506e+06
A2ADZ8	A2ADZ8	IQCC_MOUSE	Iqcc	IQ domain-containing protein C				290177			261920			554786	384833							
A2AF47	A2AF47	DOC11_MOUSE	Dock11	Dedicator of cytokinesis protein 11	160756	148778	199955	156202		182193	57270.1	414097	181549	590677	125742	92294	582633	449440	642351	621665	554460	693282
A2AG58	A2AG58;A2AG58-2	BCLA3_MOUSE	Bclaf3	BCLAF1 and THRAP3 family member 3	677069	417388	447744	1.82365e+06	1.25872e+06	686270	346261	1.1866e+06	403929	1.80688e+06	1.5398e+06	895627	1.70587e+06	1.54679e+06	1.71934e+06	1.46928e+06	1.76551e+06	1.59734e+06
A2AGH6;A2AGH6-2	A2AGH6;A2AGH6-2	MED12_MOUSE	Med12	Mediator of RNA polymerase II transcription subunit 12	646411	188982	140187	838690	522263	159546	943228	445300	103143	870281	452747	459283	1.7966e+06	2.10438e+06	2.0488e+06	2.11407e+06	1.79362e+06	2.11184e+06
A2AGT5;A2AGT5-2;A2AGT5-3	A2AGT5;A2AGT5-2;A2AGT5-3	CKAP5_MOUSE	Ckap5	Cytoskeleton-associated protein 5	6.18905e+06	3.65225e+06	3.00026e+06	7.29502e+06	6.67515e+06	2.81591e+06	5.46781e+06	4.00112e+06	3.48427e+06	8.31621e+06	6.65519e+06	2.6422e+06	1.19743e+07	1.10029e+07	1.20203e+07	1.2018e+07	1.10594e+07	1.16646e+07
A2AH22;A2AH22-2;A2AH22-6;A2AH22-7	A2AH22;A2AH22-2;A2AH22-3;A2AH22-4;A2AH22-5;A2AH22-6;A2AH22-7	AMRA1_MOUSE	Ambra1	Activating molecule in BECN1-regulated autophagy protein 1					108571	84659.2							820555	782589	1.33418e+06	1.08589e+06	1.00512e+06	1.24827e+06
A2AHG0;A2AHG0-3	A2AHG0;A2AHG0-2;A2AHG0-3	LZTS3_MOUSE	Lzts3	Leucine zipper putative tumor suppressor 3	286855	331103	369847	301942	231979	493958	409209	390253	156748	538626	350918	320552	71780.8		66087.2	124396	129054	87504.9
A2AI08	A2AI08	TPRN_MOUSE	Tprn	Taperin	1.15676e+06	1.06905e+06	1.25506e+06	565090	286139	343690	1.02848e+06	1.13587e+06	856839	419374	244511	364896	562912	725610	595664	859248	943512	709566
A2AIL4	A2AIL4	NDUF6_MOUSE	Ndufaf6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	3.72274e+06	3.54031e+06	3.27847e+06	1.91001e+06	911458	1.62309e+06	4.07128e+06	2.72296e+06	2.83535e+06	2.21833e+06	1.89316e+06	1.86135e+06		986865	438212			
A2AIV2	A2AIV2;A2AIV2-2	VIR_MOUSE	Virma	Protein virilizer homolog	788274	641540	386223	806247	504740	275507	633246	382724	419125	889829	718570	287718	1.26747e+06	1.33351e+06	1.20961e+06	1.24092e+06	1.25782e+06	1.17541e+06
A2AJ15	A2AJ15	MA1B1_MOUSE	Man1b1	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	1.11084e+07	4.82251e+06	4.17059e+06	6.576e+06	3.21408e+06	2.69156e+06	9.60339e+06	4.34048e+06	3.7248e+06	6.0464e+06	2.79888e+06	2.42799e+06	2.31358e+06	2.60043e+06	2.32966e+06	2.58658e+06	2.53347e+06	2.06292e+06
A2AJ88-3	A2AJ88-3	PLPL7_MOUSE	Pnpla7	Isoform 3 of Patatin-like phospholipase domain-containing protein 7	1.00123e+06	997206	842018	487162	1.03543e+06	1.97244e+06		628580	1.29154e+06	1.03177e+06	2.46314e+06	945701	2.50638e+06	2.19553e+06	1.96488e+06	2.61565e+06	2.22454e+06	1.90948e+06
A2AJI0;A2AJI0-2	A2AJI0;A2AJI0-2	MA7D1_MOUSE	Map7d1	MAP7 domain-containing protein 1	2.93236e+06	951147	904090	2.38525e+06	3.9758e+06	1.24387e+06	2.59564e+06	1.20288e+06	980498	3.39478e+06	3.86835e+06	955424	2.21516e+06	2.00711e+06	2.49249e+06	1.92843e+06	1.94095e+06	2.39445e+06
A2AJK6-3	A2AJK6;A2AJK6-2;A2AJK6-3	CHD7_MOUSE	Chd7	Isoform 3 of Chromodomain-helicase-DNA-binding protein 7		83689.4	258806		261015		1.04606e+06	594620	444539			48552.6	495072	784269		848142	318253	783119
A2AJQ3;A2AJQ3-2	A2AJQ3;A2AJQ3-2	D19L4_MOUSE	Dpy19l4	Probable C-mannosyltransferase DPY19L4	3.39097e+06	973160		1.9202e+06	1.7041e+06	1.49273e+06		309032	1.22221e+06	2.12231e+06	1.59592e+06	1.8699e+06	929753	764836	864835	470616	797881	539142
A2AJT4	A2AJT4	PNISR_MOUSE	Pnisr	Arginine/serine-rich protein PNISR	3.32288e+06	1.86495e+06	2.21987e+06	863523	1.11254e+06	1.66264e+06	3.46287e+06	2.15803e+06	1.96376e+06	1.19708e+06	1.22691e+06	1.72645e+06	1.21545e+06	643609	646160	1.18593e+06	820215	669193
A2AKB9;A2AKB9-2;A2AKB9-4	A2AKB9;A2AKB9-2;A2AKB9-4	DCA10_MOUSE	Dcaf10	DDB1- and CUL4-associated factor 10		418599	292499	770651	181066	414999	460925	362011	258338			400598	607951	637644	611994	551898	527044	496984
A2ALU4	A2ALU4	SHRM2_MOUSE	Shroom2	Protein Shroom2	82265.4	261900	211077	1.6519e+06	1.0605e+06	1.25751e+06		42346.7	197905	1.77342e+06	1.07299e+06	1.34854e+06	276228	88695.9	241061	400809	376244	160320
A2ALW5	A2ALW5;A2ALW5-2	DJC25_MOUSE	Dnajc25	DnaJ homolog subfamily C member 25	2.61304e+06	2.36074e+06	2.52291e+06	3.38509e+06	3.73856e+06	4.85102e+06	1.04713e+06	2.15872e+06	2.62025e+06	3.78269e+06	3.25703e+06	4.0212e+06	1.91879e+06	1.92508e+06	1.01309e+06	1.32603e+06	1.62176e+06	1.67798e+06
A2AM05;A2AM05-4	A2AM05;A2AM05-4	CNTLN_MOUSE	Cntln	Centlein	628183	250245	277023	488902	229357		469782	417498	378557	92467.5	211257				170648	143966	200052	445009
A2AMM0	A2AMM0	CAVN4_MOUSE	Cavin4	Caveolae-associated protein 4	1.04286e+06	411190	601878	440744	511583	237655	777971	547148	946356	916958	429138	256029	976615	571011	796620	918696	510825	616056
A2AN08;A2AN08-3;A2AN08-5	A2AN08;A2AN08-2;A2AN08-3;A2AN08-5	UBR4_MOUSE	Ubr4	E3 ubiquitin-protein ligase UBR4	870438	891868	692459	1.18704e+06	1.12352e+06	528120	1.10297e+06	769726	594541	1.83896e+06	863521	483872	4.69857e+06	3.73686e+06	4.37109e+06	4.64342e+06	3.97807e+06	3.90804e+06
A2APB8	A2APB8	TPX2_MOUSE	Tpx2	Targeting protein for Xklp2	1.18182e+07	4.12258e+06	2.26687e+06	1.14004e+07	9.33363e+06	3.39854e+06	9.55197e+06	4.34685e+06	2.58527e+06	1.16547e+07	9.95756e+06	3.60168e+06	2.03736e+07	2.03944e+07	1.81827e+07	1.94113e+07	2.06809e+07	1.83912e+07
A2APV2;A2APV2-2;A2APV2-3	A2APV2;A2APV2-2;A2APV2-3	FMNL2_MOUSE	Fmnl2	Formin-like protein 2	2.7327e+06	2.29295e+06	2.28445e+06	3.62369e+06	1.83567e+06	1.55829e+06	3.54126e+06	2.13129e+06	2.17099e+06	3.37249e+06	1.7064e+06	1.68325e+06	1.49519e+06	2.14049e+06	1.75345e+06	1.89472e+06	2.02182e+06	2.01743e+06
A2APV2;A2APV2-2;A2APV2-3;Q6ZPF4	A2APV2;A2APV2-2;A2APV2-3;Q6ZPF4;Q6ZPF4-2	FMNL2_MOUSE;FMNL3_MOUSE	Fmnl2;Fmnl3	Formin-like protein 2	5.46389e+06	3.04291e+06	3.35434e+06	5.45806e+06	2.41414e+06	2.03987e+06	3.61249e+06	2.89947e+06	2.62044e+06	5.18379e+06	2.27359e+06	1.81465e+06	4.10807e+06	4.33261e+06	4.10106e+06	3.53274e+06	4.29746e+06	3.74422e+06
A2APY7	A2APY7;A2APY7-2	NDUF5_MOUSE	Ndufaf5	Arginine-hydroxylase NDUFAF5, mitochondrial	7.09094e+06	8.54616e+06	8.6499e+06	5.54461e+06	6.57601e+06	7.18971e+06	7.29273e+06	8.75366e+06	8.71193e+06	5.90742e+06	6.68906e+06	7.21955e+06	1.48504e+06	1.6777e+06	1.40429e+06	1.48692e+06	1.47765e+06	1.08022e+06
A2AQ19	A2AQ19	RTF1_MOUSE	Rtf1	RNA polymerase-associated protein RTF1 homolog	924359		472184	809185	689050	511077	1.17956e+06	695046	958834	1.04424e+06	1.01796e+06	841561	2.47898e+06	2.99228e+06	2.75591e+06	3.08313e+06	2.3494e+06	3.23007e+06
A2AR02	A2AR02	PPIG_MOUSE	Ppig	Peptidyl-prolyl cis-trans isomerase G	1.98635e+06	801853	502083	862454	1.47866e+06	650769	1.687e+06	1.04892e+06	504079	1.59417e+06	1.50362e+06	754319	7.859e+06	8.16384e+06	7.75766e+06	7.77986e+06	8.17384e+06	8.30946e+06
A2ARV4	A2ARV4	LRP2_MOUSE	Lrp2	Low-density lipoprotein receptor-related protein 2	1.34073e+07			1.2939e+07	8.51501e+06	8.09711e+06		9.32988e+06	8.33471e+06	1.12145e+07	9.08494e+06	7.79385e+06	4.94989e+06	5.89543e+06	3.8924e+06	4.80933e+06	5.70645e+06	4.46466e+06
A2ASQ1-2;A2ASQ1-3	A2ASQ1;A2ASQ1-2;A2ASQ1-3	AGRIN_MOUSE	Agrn	Isoform 2 of Agrin	2.06659e+06	1.36473e+06	1.13382e+06	3.06021e+06	2.63878e+06	2.30895e+06	1.88473e+06	1.41688e+06	1.02515e+06	3.36645e+06	2.96959e+06	2.39243e+06	1.31139e+06	1.32279e+06	1.24978e+06	1.22547e+06	1.46429e+06	1.02123e+06
A2ASS6	A2ASS6;A2ASS6-2	TITIN_MOUSE	Ttn	Titin	5.61163e+06	3.5537e+06	2.37704e+06	3.02429e+06	6.99128e+06	5.39382e+06	4.64244e+06	3.76267e+06	2.29175e+06	4.82873e+06	6.47566e+06	4.50327e+06	4.47007e+06	8.12293e+06	9.05708e+06	1.1186e+07	8.46637e+06	1.01272e+07
A2ASS6;A2ASS6-3	A2ASS6;A2ASS6-2;A2ASS6-3	TITIN_MOUSE	Ttn	Titin	1.02957e+07		2.17211e+07	7.43383e+06	6.90246e+06	5.2801e+06	1.056e+07			9.27026e+06	8.96751e+06	6.18394e+06	2.86061e+06	2.91206e+06	2.4647e+06	3.02183e+06	2.36981e+06	2.78866e+06
A2ASZ8-2;A2ASZ8-3	A2ASZ8;A2ASZ8-2;A2ASZ8-3;A2ASZ8-4;A2ASZ8-5	SCMC2_MOUSE	Slc25a25	Isoform 2 of Calcium-binding mitochondrial carrier protein SCaMC-2	4.45128e+06	4.96402e+06	5.53678e+06	4.8486e+06	5.18313e+06	6.47594e+06	3.8181e+06	5.13235e+06	5.45908e+06	5.39967e+06	5.94352e+06	6.40579e+06	353951	1.01945e+06	565796	445881	1.19064e+06	
A2ASZ8-2;A2ASZ8-3;Q6GQS1	A2ASZ8;A2ASZ8-2;A2ASZ8-3;A2ASZ8-4;A2ASZ8-5;Q6GQS1	SCMC2_MOUSE;SCMC3_MOUSE	Slc25a23;Slc25a25	Isoform 2 of Calcium-binding mitochondrial carrier protein SCaMC-2	1.93763e+06	4.24927e+06	2.39743e+06	2.82871e+06	2.67501e+06	5.36145e+06	2.76535e+06	2.90105e+06	3.7522e+06	4.58616e+06	2.73384e+06	5.00483e+06	443791	676499	693513	494758	439833	541377
A2AT37	A2AT37	RENT2_MOUSE	Upf2	Regulator of nonsense transcripts 2	1.49011e+06	963217	220790	2.83969e+06	1.89112e+06	664385	1.25887e+06	423167	385739	3.28108e+06	1.6921e+06	303500	1.66742e+06	1.40427e+06	1.63363e+06	1.94899e+06	1.46106e+06	1.57121e+06
A2ATU0	A2ATU0	DHTK1_MOUSE	Dhtkd1	Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial	925498	1.47659e+06	1.53817e+06	1.26275e+06	1.1831e+06	1.5958e+06	1.65173e+06	1.04259e+06	1.33801e+06	1.13713e+06	1.43584e+06	1.23736e+06	273451		417108	805730		
A2AUM9	A2AUM9	CE152_MOUSE	Cep152	Centrosomal protein of 152 kDa	3.16307e+06	2.24427e+06	1.36819e+06	2.249e+06	616947	1.0622e+06	3.28847e+06	2.63574e+06	1.44327e+06	2.48156e+06	1.19007e+06	1.04186e+06	235826	391119		1.0165e+06	302615	435684
A2AUU0-3;A2AUU0-4	A2AUU0;A2AUU0-2;A2AUU0-3;A2AUU0-4;A2AUU0-5	METL8_MOUSE	Mettl8	Isoform 3 of mRNA N(3)-methylcytidine methyltransferase METTL8	403934	533778	531255		429436	457557	685159	568366	540265	116451	518946	462765					16321.3	
A2AUU0-3;A2AUU0-4;A2AUU0-6	A2AUU0;A2AUU0-2;A2AUU0-3;A2AUU0-4;A2AUU0-5;A2AUU0-6	METL8_MOUSE	Mettl8	Isoform 3 of mRNA N(3)-methylcytidine methyltransferase METTL8	1.33136e+06	1.90333e+06	2.49258e+06	2.28978e+06	2.76005e+06	2.71738e+06	2.2582e+06	2.13603e+06	2.43238e+06	3.74656e+06	2.0343e+06	1.38921e+06		5.79142e+06	6.83298e+06	3.13455e+06	5.24961e+06	6.18304e+06
A2AUU0-6	A2AUU0-6	METL8_MOUSE	Mettl8	Isoform 6 of mRNA N(3)-methylcytidine methyltransferase METTL8	106434	108020	100010			58228.6		140594	108192		44525.5	54171			8596.95			
A2AWA9	A2AWA9;A2AWA9-2	RBGP1_MOUSE	Rabgap1	Rab GTPase-activating protein 1	178498	110360	117199	87241	253175	120564			96294.2	172602	388735	43727.9	681040	623790	634413	638494	615539	667044
A2AWL7;A2AWL7-3	A2AWL7;A2AWL7-2;A2AWL7-3	MGAP_MOUSE	Mga	MAX gene-associated protein		117142	191379		435810	225250	160769	139147	62850.6	455214	473237	258880	414714	606863	373025	482078	486867	565249
